종목명,구분,종목코드
메리츠 솔랙티브 -2X WTI원유 선물 ETN(H),ETN,610089
미래에셋 인버스 2X 원유선물혼합 ETN(H),ETN,520050
신한 블룸버그 인버스2X WTI원유선물 ETN B,ETN,500094
삼성 블룸버그 인버스2X WTI원유선물 ETN B,ETN,530134
삼성 인버스 2X WTI원유 선물 ETN,ETN,530036
미래에셋 인버스 2X 원유선물혼합 ETN(H),ETN,520050
미래에셋 레버리지 원유선물혼합 ETN(H),ETN,520009
삼성 인버스 2X 은 선물 ETN(H),ETN,530062
삼성 인버스 2X WTI원유 선물 ETN,ETN,530036
키움 반도체TOP10 ETN,ETN,760012
한투 인버스 2X 플래티넘 선물 ETN,ETN,570070
한투 인버스 2X 코스닥150선물 ETN,ETN,570082
하나 인버스 2X 코스닥150 선물 ETN,ETN,700018
신한 인버스 2X 코스피 200 선물 ETN,ETN,500070
신한 인버스 2X 코스닥 150 선물 ETN,ETN,500072
삼성 인버스 2X 코스피200 선물 ETN,ETN,530105
삼성 인버스 2X 코스닥150 선물 ETN,ETN,530107
미래에셋 인버스 2X 코스피200 선물 ETN,ETN,520055
미래에셋 인버스 2X 코스닥150 선물 ETN,ETN,520057
미래에셋 인버스 2X 은 선물 ETN B,ETN,520093
대신 인버스 2X 코스닥 150 선물 ETN,ETN,510027
KB 인버스 2X KOSPI 200 선물 ETN,ETN,580040
KB 인버스 2X KOSDAQ 150 선물 ETN,ETN,580044
한투 인버스 2X 유로스탁스50 ETN(H) B,ETN,570092
한투 레버리지국채30년 ETN,ETN,570108
한투 레버리지 유로스탁스50 ETN(H) B,ETN,570054
한투 FTSE100 ETN,ETN,570047
한투 3X레버리지국채30년 ETN,ETN,570110
삼성 인버스 2X WTI원유 선물 ETN,ETN,530036
삼성 iSelect 조선 TOP10 TR ETN,ETN,530139
삼성 KRX 2차전지 TOP10 TR ETN,ETN,530137
메리츠 인버스 2X 금 선물 ETN(H),ETN,610013
메리츠 레버리지 국채30년 ETN,ETN,610008
KB 인버스 2X KOSPI 200 선물 ETN,ETN,580040
KB 레버리지 화웨이 밸류체인 ETN,ETN,580073
KB 레버리지 KOSPI 200 선물 ETN,ETN,580039
KB 레버리지 2차전지 TOP 10 TR ETN,ETN,580070
,,
삼성 인버스 2X 은 선물 ETN(H),,530062
하나 인버스 2X 코스닥150 선물 ETN,,700018
삼성 인버스 2X WTI원유 선물 ETN,,530036
한투 인버스 2X 플래티넘 선물 ETN,,570070
한투 인버스 2X 코스닥150선물 ETN,,570082
하나 인버스 2X 코스닥150 선물 ETN,,700018
신한 인버스 2X 코스피 200 선물 ETN,,500070
신한 인버스 2X 코스닥 150 선물 ETN,,500072
삼성 인버스 2X 코스피200 선물 ETN,,530105
삼성 인버스 2X 코스닥150 선물 ETN,,530107
미래에셋 인버스 2X 코스피200 선물 ETN,,520055
미래에셋 인버스 2X 코스닥150 선물 ETN,,520057
미래에셋 인버스 2X 은 선물 ETN B,,520093
대신 인버스 2X 코스닥 150 선물 ETN,,510027
KB 인버스 2X KOSPI 200 선물 ETN,,580040
KB 인버스 2X KOSDAQ 150 선물 ETN,,580044
한투 인버스2X 나스닥100 ETN B,,570103
한투 인버스 유로스탁스50 ETN(H) C,,570091
한투 인버스 2X 유로스탁스50 ETN(H) B,,570092
한투 인버스 2X 구리 선물 ETN,,570073
한투 블룸버그레버리지WTI원유선물 ETN B,,570116
한투 레버리지 유로스탁스50 ETN(H) B,,570054
한투 레버리지 나스닥100 ETN B,,570102
한투 3X레버리지국채30년 ETN,,570110
하나 인버스 2X 천연가스 선물 ETN(H),,700032
하나 Solactive 2X US Tech Top 10 ETN(H),,700023
하나 S&P 레버리지 WTI원유 선물 ETN B,,700029
신한 인버스 2X Russell 2000 ETN B,,500098
신한 블룸버그 인버스2X WTI원유선물 ETN B,,500094
신한 블룸버그 레버리지 WTI원유선물 ETN B,,500093
신한 레버리지 Russell 2000 ETN B,,500097
삼성 코스피 양매도 5% OTM ETN,,530060
삼성 중국 자동차 TOP5 TR ETN(H),,530141
삼성 인버스 2X 나스닥 100 TR ETN,,530116
삼성 인버스 2X WTI원유 선물 ETN,,530036
삼성 블룸버그 인버스2X WTI원유선물 ETN B,,530134
삼성 블룸버그 레버리지 WTI원유선물 ETN B,,530133
삼성 레버리지 나스닥 100 TR ETN,,530115
삼성 레버리지 WTI원유 선물 ETN,,530031
삼성 나스닥 100 TR ETN,,530120
삼성 KRX 2차전지 TOP10 TR ETN,,530137
미래에셋 레버리지 미국 제약 TOP3 ETN,,520079
미래에셋 미국 AI TOP3 ETN,,520072
미래에셋 레버리지 미국 AI TOP3 ETN,,520073
미래에셋 인버스 2X 원유선물혼합 ETN(H),,520050
메리츠 솔랙티브 2X WTI원유 선물 ETN(H),,610088
KB 인버스 은 선물 ETN,,580080
KB 화웨이 밸류체인 ETN,,580072
KB 차이나 과창판 STAR 50 ETN,,580050
KB 레버리지 FANG 플러스 ETN(H),,580034
미래에셋 2X 홍콩H 선물 ETN,,520068
미래에셋 2X 미국 테크&반도체 TOP3 ETN,,520081
미래에셋 2X 미국 자율주행대표기업 ETN,,520083
미래에셋 -2X 미국 자율주행대표기업 ETN,,520084
미래에셋 -2X 미국 AI TOP3 ETN,,520085
메리츠 솔랙티브 -2X WTI원유 선물 ETN(H),,610089
메리츠 -2X 은 선물 ETN(H),,610101
N2 코스닥 150 TR ETN,,550085
N2 인버스 레버리지 금 선물 ETN(H),,550063
N2 인버스 레버리지 WTI원유 선물 ETN(H),,550043
N2 인버스 2X 천연가스 선물 ETN,,550100
N2 레버리지 천연가스 선물 ETN,,550099
N2 레버리지 은 선물 ETN(H),,550064
KB 인버스 2X 은 선물 ETN,,580081
KB 인버스 2X 미국 나스닥 100 TR ETN B,,580077
KB 인버스 2X KOSPI 200 선물 ETN,,580040
KB 은 선물 ETN,,580078
KB 레버리지 화웨이 밸류체인 ETN,,580073
KB 레버리지 은 선물 ETN,,580079
KB 레버리지 미국 나스닥 100 TR ETN B,,580076
KB 레버리지 KOSDAQ 150 선물 ETN,,580043
KB 레버리지 2차전지 TOP 10 TR ETN,,580070
KB S&P 인버스 2X WTI원유 선물 ETN B,,580069
KB S&P 레버리지 WTI원유 선물 ETN B,,580068
,,
미래에셋 인버스 2X 원유선물혼합 ETN(H),,520050
삼성 인버스 2X WTI원유 선물 ETN,,530036
KB S&P 인버스 2X WTI원유 선물 ETN B,,580069
N2 인버스 레버리지 WTI원유 선물 ETN(H),,550043
삼성 블룸버그 인버스2X WTI원유선물 ETN B,,530134
삼성 인버스 2X WTI원유 선물 ETN,,530036
하나 인버스 2X 코스닥150 선물 ETN,,700018
삼성 인버스 2X 코스피200 선물 ETN,,530105
삼성 인버스 2X 코스닥150 선물 ETN,,530107
삼성 레버리지 천연가스 선물 ETN C,,530111
미래에셋 인버스 2X 은 선물 ETN B,,520093
미래에셋 인버스 2X 코스피200 선물 ETN,,520055
한투 인버스 2X 플래티넘 선물 ETN,,570070
미래에셋 인버스 2X 코스닥150 선물 ETN,,520057
한투 인버스 2X 코스닥150선물 ETN,,570082
메리츠 블룸버그 2X 천연가스선물 ETN(H) B,,610067
한투 레버리지 유로스탁스50 ETN(H) B,,570054
KB 인버스 2X KOSPI 200 선물 ETN,,580040
대신 인버스 2X 코스닥 150 선물 ETN,,510027
신한 인버스 2X 코스피 200 선물 ETN,,500070
신한 인버스 2X 코스닥 150 선물 ETN,,500072
미래에셋 레버리지 원유선물혼합 ETN(H),,520009
미래에셋 인버스 2X 원유선물혼합 ETN(H),,520050
신한 인버스0.5X S&P500 VIX S/T선물 ETN,,500077
삼성 레버리지 천연가스 선물 ETN C,,530111
KB 인버스 2X KOSDAQ 150 선물 ETN,,580044
한투 코스피 양매도 5% OTM ETN,,570019
하나 반도체 ETN,,700027
신한 코스피 200 TR ETN,,500085
신한 코스닥 150 TR ETN,,500086
신한 인버스 2X 코스피 200 선물 ETN,,500070
삼성 코리아 밸류업 TR ETN,,530126
삼성 인버스 2X WTI원유 선물 ETN,,530036
삼성 KRX 2차전지 TOP10 TR ETN,,530137
N2 인버스 레버리지 WTI원유 선물 ETN(H),,550043
N2 월간 레버리지 방위산업 Top5 ETN,,550092
KB 레버리지 은 선물 ETN,,580079
,,
N2 인버스 레버리지 WTI원유 선물 ETN(H),,550043
삼성 인버스 2X WTI원유 선물 ETN,,530036
N2 인버스 2X 코스닥150 선물 ETN,,550098
N2 레버리지 구리 선물 ETN(H),,550069
N2 방위산업 Top5 ETN,,550091
N2 월간 레버리지 코스피 200 선물 ETN,,550089
N2 인버스 레버리지 구리 선물 ETN(H),,550070
N2 인버스 레버리지 금 선물 ETN(H),,550063
N2 코스닥 150 TR ETN,,550085
키움 코스피200 선물 달러노출 ETN,,760021
삼성 인버스 2X 코스닥150 선물 ETN,,530107
삼성 인버스 2X 코스피200 선물 ETN,,530105
하나 인버스 2X 코스닥150 선물 ETN,,700018
신한 인버스 2X 코스닥 150 선물 ETN,,500072
신한 인버스 2X 코스피 200 선물 ETN,,500070
한투 인버스 2X 코스닥150선물 ETN,,570082
한투 인버스 2X 플래티넘 선물 ETN,,570070
메리츠 블룸버그 2X 천연가스선물 ETN(H) B,,610067
키움 코스피 200 TR ETN,,760007
삼성 레버리지 천연가스 선물 ETN C,,530111
미래에셋 인버스 2X 코스피200 선물 ETN,,520055
N2 인버스 레버리지 WTI원유 선물 ETN(H),,550043
미래에셋 인버스 2X 코스닥150 선물 ETN,,520057
키움 코스닥 150 TR ETN,,760008
키움 전력 TOP5 ETN,,760025
키움 바이오TOP10 ETN,,760014
키움 인버스 2X 반도체TOP10 ETN,,760028
키움 레버리지 리츠부동산인프라 ETN,,760020
미래에셋 인버스 2X 은 선물 ETN B,,520093
대신 인버스 2X 코스닥 150 선물 ETN,,510027
키움 KPOP ETN,,760006
KB 인버스 2X KOSPI 200 선물 ETN,,580040
KB 인버스 2X KOSDAQ 150 선물 ETN,,580044
한투 코스피 양매도 5% OTM ETN,,570019
한투 인버스 2X 코스닥150선물 ETN,,570082
키움 2차전지산업 ETN,,760010
하나 인버스 2X 코스닥150 선물 ETN,,700018
하나 인버스 2X 반도체 ETN,,700036
하나 반도체 ETN,,700027
하나 레버리지 반도체 ETN,,700028
신한 코스닥 150 TR ETN,,500086
신한 인버스 코스닥 150 선물 ETN,,500063
신한 인버스 2X 코스피 200 선물 ETN,,500070
신한 인버스 2X 코스닥 150 선물 ETN,,500072
신한 레버리지 코스닥 150 선물 ETN,,500071
삼성 인버스 2X 코스피200 선물 ETN,,530105
삼성 인버스 2X 코스닥150 선물 ETN,,530107
삼성 인버스 2X 은 선물 ETN(H),,530062
삼성 인버스 2X WTI원유 선물 ETN,,530036
삼성 레버리지 코스닥150 선물 ETN,,530106
삼성 KRX 레버리지 2차전지 TOP10 TR ETN,,530138
미래에셋 인버스 2X 코스피200 선물 ETN,,520055
미래에셋 인버스 2X 코스닥150 선물 ETN,,520057
미래에셋 2X 미국 테크&반도체 TOP3 ETN,,520081
대신 인버스 2X 코스닥 150 선물 ETN,,510027
KB 코스닥 150 TR ETN,,580065
KB 인버스 2X KOSPI 200 선물 ETN,,580040
KB 인버스 2X KOSDAQ 150 선물 ETN,,580044
KB 레버리지 화웨이 밸류체인 ETN,,580073
KB 레버리지 KOSDAQ 150 선물 ETN,,580043
,,
한투 인버스2X은선물 ETN,,570119
삼성 인버스 2X 은 선물 ETN,,530143
메리츠 -2X 은 선물 ETN(H),,610101
메리츠 2X 은 선물 ETN(H),,610100
메리츠 은 선물 ETN(H),,610099
KB 인버스 2X 은 선물 ETN,,580081
KB 인버스 은 선물 ETN,,580080
KB 레버리지 은 선물 ETN,,580079
KB 은 선물 ETN,,580078
한투 일본종합상사TOP5 ETN,,570100
삼성 인버스 2X WTI원유 선물 ETN,,530036
삼성 레버리지 China A50 선물 ETN(H),,530023
미래에셋 인버스 2X 은 선물 ETN B,,520093
미래에셋 인버스 2X 코스피200 선물 ETN,,520055
삼성 인버스 2X 코스피200 선물 ETN,,530105
신한 인버스 2X 코스피 200 선물 ETN,,500070
KB 인버스 2X KOSPI 200 선물 ETN,,580040
한투 인버스 2X 플래티넘 선물 ETN,,570070
한투 코스피 양매도 5% OTM ETN,,570019
한투 코스피 양매도 3% OTM ETN,,570029
한투 인버스 2X 구리 선물 ETN,,570073
한투 레버리지국채30년 ETN,,570108
한투 FTSE100 ETN,,570047
하나 인버스 2X K방산TOP10 ETN,,700035
하나 반도체 ETN,,700027
하나 레버리지 반도체 ETN,,700028
하나 레버리지 K방산TOP10 ETN,,700034
신한 인버스 2X 코스닥 150 선물 ETN,,500072
삼성 인버스 2X 은 선물 ETN(H),,530062
삼성 인버스 2X WTI원유 선물 ETN,,530036
삼성 레버리지 코스피200 선물 ETN,,530104
삼성 레버리지 코스닥150 선물 ETN,,530106
삼성 iSelect 조선 TOP10 TR ETN,,530139
미래에셋 레버리지 미국 AI TOP3 ETN,,520073
미래에셋 2X 미국 자율주행대표기업 ETN,,520083
미래에셋 -2X 미국 자율주행대표기업 ETN,,520084
미래에셋 -2X 미국 AI TOP3 ETN,,520085
메리츠 인버스 3X 국채10년 ETN,,610060
메리츠 3X 레버리지 국채10년 ETN,,610059
N2 월간 레버리지 방위산업 Top5 ETN,,550092
N2 방위산업 Top5 ETN,,550091
KB 인버스 2X 미국 나스닥 100 TR ETN B,,580077
KB 레버리지 KOSPI 200 선물 ETN,,580039
KB 레버리지 FANG 플러스 ETN(H),,580034
,,
신한 인버스 2X 코스닥 150 선물 ETN,,500072
메리츠 미국채30년 풋라이트 ETN(H),,610098
메리츠 미국채30년스트립 커버드콜 ETN(H),,610097
한투 인버스2X은선물 ETN,,570119
삼성 인버스 2X 은 선물 ETN,,530143
메리츠 -2X 은 선물 ETN(H),,610101
메리츠 2X 은 선물 ETN(H),,610100
메리츠 은 선물 ETN(H),,610099
KB 인버스 2X 은 선물 ETN,,580081
KB 인버스 은 선물 ETN,,580080
KB 레버리지 은 선물 ETN,,580079
KB 은 선물 ETN,,580078
삼성 레버리지 China A50 선물 ETN(H),,530023
한투 인버스 2X 플래티넘 선물 ETN,,570070
한투 인버스 2X 코스닥150선물 ETN,,570082
하나 인버스 2X 코스닥150 선물 ETN,,700018
신한 인버스 2X 코스피 200 선물 ETN,,500070
신한 인버스 2X 코스닥 150 선물 ETN,,500072
삼성 인버스 2X 코스피200 선물 ETN,,530105
삼성 인버스 2X 코스닥150 선물 ETN,,530107
미래에셋 인버스 2X 코스피200 선물 ETN,,520055
미래에셋 인버스 2X 코스닥150 선물 ETN,,520057
미래에셋 인버스 2X 은 선물 ETN B,,520093
대신 인버스 2X 코스닥 150 선물 ETN,,510027
KB 인버스 2X KOSPI 200 선물 ETN,,580040
KB 인버스 2X KOSDAQ 150 선물 ETN,,580044
한투 코스피 양매도 3% OTM ETN,,570029
한투 인버스 2X 유로스탁스50 ETN(H) B,,570092
한투 레버리지 코스닥150선물 ETN,,570081
한투 레버리지 유로스탁스50 ETN(H) B,,570054
하나 반도체 ETN,,700027
키움 인버스 2X K방산 TOP5 ETN,,760024
신한 인버스 2X 10년 국채선물 ETN,,500068
신한 레버리지 코스닥 150 선물 ETN,,500071
신한 레버리지 Russell 2000 ETN B,,500097
