회사명,시장구분,종목코드
케이뱅크,유가,279570
티엠씨,유가,217590
삼성에피스홀딩스,유가,0126Z0
삼양바이오팜,유가,0120G0
명인제약,유가,317450
대한조선,유가,439260
대신밸류리츠,유가,0030R0
달바글로벌,유가,483650
씨케이솔루션,유가,480370
서울보증보험,유가,031210
LG씨엔에스,유가,064400
GS피앤엘,유가,499790
엠앤씨솔루션,유가,484870
KB발해인프라,유가,415640
더본코리아,유가,475560
한화비전,유가,489790
전진건설로봇,유가,079900
HS효성,유가,487570
산일전기,유가,062040
시프트업,유가,462870
신한글로벌액티브리츠,유가,481850
파라다이스,유가,034230
HD현대마린솔루션,유가,443060
SK이터닉스,유가,475150
에이피알,유가,278470
엘앤에프,유가,066970
포스코DX,유가,022100
DS단석,유가,017860
동인기연,유가,111380
에코프로머티,유가,450080
두산로보틱스,유가,454910
STX그린로지스,유가,465770
넥스틸,유가,092790
NICE평가정보,유가,030190
조선내화,유가,462520
비에이치,유가,090460
동국씨엠,유가,460850
동국제강,유가,460860
이수스페셜티케미컬,유가,457190
OCI,유가,456040
SK오션플랜트,유가,100090
삼성FN리츠,유가,448730
현대그린푸드,유가,453340
한화갤러리아,유가,452260
한화리츠,유가,451800
바이오노트,유가,377740
유니드비티플러스,유가,446070
LX세미콘,유가,108320
KB스타리츠,유가,432320
쏘카,유가,403550
수산인더스트리,유가,126720
마스턴프리미어리츠,유가,357430
코람코더원리츠,유가,417310
LG에너지솔루션,유가,373220
신한서부티엔디리츠,유가,404990
미래에셋글로벌리츠,유가,396690
SK스퀘어,유가,402340
NH올원리츠,유가,400760
카카오페이,유가,377300
케이카,유가,381970
HD현대중공업,유가,329180
SK리츠,유가,395400
일진하이솔루스,유가,271940
디앤디플랫폼리츠,유가,377190
아주스틸,유가,139990
롯데렌탈,유가,089860
한컴라이프케어,유가,372910
크래프톤,유가,259960
PI첨단소재,유가,178920
카카오뱅크,유가,323410
에스디바이오센서,유가,137310
엠씨넥스,유가,097520
LX홀딩스,유가,383800
F&F,유가,383220
SK아이이테크놀로지,유가,361610
SK바이오사이언스,유가,302440
화승알앤에이,유가,378850
프레스티지바이오파마,유가,950210
솔루엠,유가,248070
DL이앤씨,유가,375500
ESR켄달스퀘어리츠,유가,365550
명신산업,유가,009900
에이플러스에셋,유가,244920
교촌에프앤비,유가,339770
하이브,유가,352820
티와이홀딩스,유가,363280
코람코라이프인프라리츠,유가,357120
제이알글로벌리츠,유가,348950
미래에셋맵스리츠,유가,357250
이지스레지던스리츠,유가,350520
이지스밸류플러스리츠,유가,334890
에스케이바이오팜,유가,326030
대덕전자,유가,353200
케이씨씨글라스,유가,344820
NH프라임리츠,유가,338100
씨티알모빌리티,유가,308170
HD현대에너지솔루션,유가,322000
한화시스템,유가,272210
자이에스앤디,유가,317400
롯데리츠,유가,330590
지누스,유가,013890
두산퓨얼셀,유가,336260
솔루스첨단소재,유가,336370
콘텐트리중앙,유가,036420
포스코퓨처엠,유가,003670
현대오토에버,유가,307950
드림텍,유가,192650
더블유게임즈,유가,192080
우리금융지주,유가,316140
에어부산,유가,298690
아시아나IDT,유가,267850
세아제강,유가,306200
하나제약,유가,293480
우진아이엔에스,유가,010400
신한알파리츠,유가,293940
한일시멘트,유가,300720
티웨이항공,유가,091810
롯데이노베이트,유가,286940
HS효성첨단소재,유가,298050
효성중공업,유가,298040
효성티앤씨,유가,298020
효성화학,유가,298000
이리츠코크렙,유가,088260
HDC현대산업개발,유가,294870
애경산업,유가,018250
셀트리온,유가,068270
쿠쿠홈시스,유가,284740
SK케미칼,유가,285130
BGF리테일,유가,282330
DYP,유가,092780
진에어,유가,272450
케이씨텍,유가,281820
삼양패키징,유가,272550
테이팩스,유가,055490
롯데웰푸드,유가,280360
제일약품,유가,271980
